user_id,movie_id,rating,review_text,date_rated,minutes_watched
183,364,1.0,Quickly window new power impact close especially analysis by near.,2024-04-10,163.0
85,23,3.0,Position student case order common political bag behind item turn.,2025-08-29,60.0
281,63,4.0,Bring marriage reveal impact day visit camera.,2025-02-08,77.0
62,354,1.0,Hard surface performance scene measure game assume.,2025-05-11,36.0
121,81,2.0,Live true safe itself office.,2024-11-05,109.0
342,215,5.0,Ball from listen fight fund.,2024-04-16,120.0
361,46,1.0,Rather behavior total scene until.,2025-06-15,137.0
477,283,2.0,Very prevent own turn possible stay suddenly.,2024-09-20,44.0
194,51,4.0,Interesting above lot however stuff on born compare create attorney.,2024-05-15,46.0
368,141,3.0,Study article second step national then room modern some.,2025-08-19,57.0
10,323,2.0,You certainly so health manager religious.,2024-06-02,97.0
240,22,4.0,Push ready late couple return act wife wait news eight.,2024-08-12,179.0
202,59,5.0,Common modern call country strong whom hair down.,2025-04-14,90.0
489,212,4.0,Speak which reason customer read behind measure position.,2024-06-01,70.0
220,362,2.0,Respond research physical bank free particular anything.,2023-12-30,84.0
461,428,1.0,Shoulder seven half not happen model security music action quite policy.,2024-01-02,116.0
260,333,5.0,Art stand factor he walk.,2025-10-05,144.0
305,163,2.0,There position head stuff environment year myself day.,2025-03-03,46.0
191,459,1.0,Picture once structure after interesting may practice.,2024-04-28,130.0
258,58,1.0,Fire base defense group along simple opportunity work resource gun.,2024-10-31,103.0
41,90,3.0,Firm who find both agent seek you whatever investment.,2024-07-16,34.0
410,226,2.0,Task government two religious his form.,2025-06-22,32.0
189,317,3.0,Professional investment else pretty.,2024-09-06,86.0
179,463,2.0,Director serious before office ever history reveal there activity chance age.,2024-12-03,145.0
300,143,1.0,Economic this he color become provide phone.,2024-05-25,95.0
203,68,5.0,Democrat include resource degree.,2024-11-09,32.0
68,466,1.0,By coach because section state all provide itself.,2023-12-03,135.0
25,12,3.0,Yes tonight week appear with much all.,2024-04-20,135.0
406,345,3.0,On expect almost learn race dog suggest as.,2024-03-23,66.0
175,452,5.0,Respond other shake last by say factor environmental agreement.,2025-05-02,56.0
445,160,3.0,Continue cultural trial choice raise fear.,2024-02-10,96.0
322,490,4.0,Upon feeling together activity better.,2025-02-18,132.0
17,174,5.0,Item amount another sit must all food.,2025-09-11,66.0
184,296,2.0,Federal lot mission stop bank federal consumer.,2024-10-24,43.0
100,246,5.0,Nature since customer activity rather air its reduce.,2023-11-24,135.0
34,447,1.0,Word per newspaper loss dog eye ahead must term.,2024-11-13,130.0
233,450,2.0,Expect star military stage themselves speech before senior low door involve.,2024-06-13,151.0
198,67,5.0,Rest group media ball tend fine fast set.,2024-07-05,41.0
258,260,3.0,Sing something language particular must so per reach.,2025-02-24,179.0
387,480,5.0,Structure college her military attack sea go thing.,2023-12-24,81.0
295,146,4.0,Order evening teach weight reason town building.,2024-01-22,67.0
330,200,2.0,Real staff kid whole fact work instead international.,2024-04-17,108.0
267,215,3.0,Forward age if seem nothing woman after.,2024-05-17,125.0
54,297,3.0,Mrs down mention relate knowledge other work purpose military nation.,2024-11-27,160.0
222,455,4.0,Stop manager tend other Congress big Mrs what media.,2024-10-25,99.0
385,298,2.0,Four learn weight nothing partner.,2024-06-06,84.0
108,72,3.0,Treat ask Mrs person election the.,2024-11-17,134.0
438,98,3.0,Human nice night recently model movement born land.,2025-08-31,170.0
196,353,1.0,Newspaper not may election paper maintain seat herself bag.,2025-01-10,103.0
252,64,4.0,Eat trouble crime money which everyone home agree.,2025-07-26,148.0
26,458,2.0,Media few open strong prevent dog.,2024-07-02,113.0
476,342,2.0,They would until free company his look crime.,2025-02-24,58.0
286,81,3.0,Staff stand claim human one meet bill author develop make.,2023-11-12,35.0
91,105,2.0,Sometimes seven resource party nice.,2023-12-13,144.0
223,51,4.0,Cut figure participant fish who agree adult compare hit source.,2023-11-13,127.0
178,279,4.0,Prove blue yes after and.,2024-05-22,142.0
183,332,1.0,Focus management painting realize other keep.,2024-03-08,67.0
189,89,1.0,Different character road expert within officer month knowledge.,2024-05-27,99.0
446,46,5.0,Pull executive save onto.,2024-11-16,63.0
269,400,2.0,Exist voice product young education new cold you hard establish.,2023-12-14,76.0
81,233,2.0,Both mind since half allow somebody page rich brother.,2024-11-13,51.0
212,247,5.0,Poor well product court hundred deal.,2024-04-12,84.0
429,394,5.0,Prove sometimes other drug once simply Mr might southern.,2024-01-22,107.0
372,38,3.0,Trip film thought ahead them important up foreign.,2025-08-30,57.0
295,411,3.0,Local door simple seat that western structure.,2025-02-01,58.0
456,101,2.0,General table officer different under anyone trial mention new.,2024-03-01,147.0
351,125,1.0,Significant current second base half short attack.,2025-02-25,89.0
400,398,2.0,Our his really talk red figure.,2023-12-02,140.0
186,382,5.0,Low value message even while arm yet tend grow opportunity walk.,2024-04-10,68.0
490,206,2.0,Care speech against safe drop agency design hold.,2025-05-19,137.0
477,415,4.0,Successful matter form necessary individual list.,2024-10-30,155.0
187,438,1.0,Quality bank choose here floor professional hear.,2024-06-04,98.0
116,203,3.0,Production great machine follow nation fight office.,2025-03-31,119.0
491,430,5.0,Possible else half professor perhaps save very.,2025-08-20,84.0
213,415,5.0,Food stock that always experience everybody specific stuff.,2025-09-26,80.0
458,472,3.0,Listen single choose authority action animal lay century.,2025-06-23,113.0
386,288,1.0,Describe enough down instead end yes little natural help get.,2024-05-08,97.0
153,256,2.0,Congress near fine sit heavy drive particularly.,2025-03-05,127.0
209,107,4.0,System tend vote growth become how friend many.,2024-04-11,152.0
178,145,2.0,Statement necessary hour billion fly director door black.,2025-09-16,99.0
125,422,4.0,Who nothing no college interesting.,2024-09-27,93.0
258,356,2.0,Type along society idea long.,2024-04-02,39.0
5,408,5.0,Unit exist various difference school.,2024-12-27,84.0
357,458,1.0,Seven analysis federal beat lawyer before peace.,2024-05-24,93.0
236,406,1.0,Middle important phone reality federal environment course specific concern student.,2025-05-06,94.0
392,273,3.0,Charge front by hear reality nice everything movement.,2024-10-14,50.0
65,301,2.0,Around actually quite include difficult might.,2024-08-25,82.0
431,391,5.0,Me agency trip service until miss since after.,2024-10-15,104.0
277,254,1.0,Last ask amount serious I mouth.,2025-10-14,30.0
453,218,5.0,Record group cover every fear.,2025-06-15,93.0
132,51,1.0,Technology environmental sound mention possible area.,2025-09-11,66.0
34,259,1.0,Laugh manage catch program attention try room.,2024-03-14,102.0
82,367,4.0,Science risk human fear image moment.,2024-04-21,75.0
267,13,1.0,Year nature today dinner item ready real.,2024-11-12,101.0
478,199,5.0,Design paper though break always live forget reflect off third.,2024-05-13,45.0
14,12,3.0,Machine know reach represent now field matter nice.,2024-08-19,31.0
321,320,1.0,Magazine future remain police score surface sister.,2024-10-05,49.0
136,466,3.0,Significant close court assume home key middle wrong pretty.,2024-11-06,77.0
402,298,2.0,Boy so determine often risk a discover bar.,2023-12-24,136.0
356,295,4.0,Eye describe across us article best such high food hand.,2025-09-29,144.0
137,292,3.0,Strong five town technology control without establish bring writer.,2023-11-23,48.0
120,304,1.0,Our sure method population throw especially animal.,2024-02-17,99.0
164,281,2.0,Sometimes remember expert power writer film later shoulder consider.,2024-05-14,142.0
295,97,4.0,Future charge four popular college environmental.,2024-01-19,77.0
18,248,2.0,Nearly local religious home different responsibility factor.,2025-09-19,92.0
42,283,2.0,Nice bit attack year fight doctor north without matter.,2024-05-31,94.0
309,31,5.0,Because firm pressure collection film like thus network scene leader.,2025-08-05,56.0
182,311,1.0,Federal worry during son necessary mouth although do attention challenge.,2024-07-17,74.0
81,489,4.0,Cultural table enjoy by view former.,2024-12-16,91.0
130,421,4.0,Power huge six good statement no.,2024-01-31,64.0
219,261,4.0,Tell exist call start loss under.,2025-03-16,31.0
67,285,2.0,Clear positive hit try option add huge man.,2024-03-08,141.0
473,441,1.0,Manage bring allow water country nearly serious itself carry exactly.,2025-03-24,148.0
106,187,4.0,Natural subject too ahead factor interesting community pick.,2024-07-30,49.0
23,69,4.0,Program admit a already treat physical walk she.,2024-08-27,172.0
296,212,1.0,Fact design officer member store number.,2024-04-01,122.0
426,241,1.0,Team color protect fund involve.,2024-08-26,99.0
65,296,4.0,Official yes drop simply world fish.,2024-12-07,174.0
104,33,3.0,Especially learn manager beat fight standard.,2025-04-09,179.0
272,381,1.0,If who treat quality important bank character point.,2025-03-24,124.0
302,185,3.0,At knowledge well offer pattern.,2025-07-23,147.0
481,186,2.0,Reality run final weight end put themselves spend brother against politics.,2025-02-19,76.0
